CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr8,14750757,14750772,MA1980.1,+,9.56e-10,MLT1D,ERVL-MaLR,LTR
chr12,103337957,103337972,MA1980.1,-,9.56e-10,L1M1,L1,LINE
chr8,132449963,132449978,MA1980.1,-,9.56e-10,L1MEb,L1,LINE
chr6,5963171,5963186,MA1980.1,-,2.12e-09,MLT1H2,ERVL-MaLR,LTR
chr20,19370458,19370473,MA1980.1,-,2.12e-09,L1MA9,L1,LINE
chr14,63804249,63804264,MA1980.1,+,2.12e-09,L1PB1,L1,LINE
chr5,16599911,16599926,MA1980.1,+,5.02e-09,HAL1,L1,LINE
chr14,105016555,105016570,MA1980.1,+,5.02e-09,MLT1J,ERVL-MaLR,LTR
chr5,112523127,112523142,MA1980.1,+,5.02e-09,MIRc,MIR,SINE
chr5,169997890,169997905,MA1980.1,-,5.02e-09,MIRb,MIR,SINE
chrY,8041551,8041566,MA1980.1,-,5.81e-09,LTR19B,ERV1,LTR
chr6,36193725,36193740,MA1980.1,-,5.81e-09,L1ME4a,L1,LINE
chr17,54030047,54030062,MA1980.1,+,5.81e-09,LTR19B,ERV1,LTR
chr7,72176153,72176168,MA1980.1,+,5.81e-09,LTR19B,ERV1,LTR
chr2,78501838,78501853,MA1980.1,+,5.81e-09,LTR19B,ERV1,LTR
chr6,111829888,111829903,MA1980.1,-,5.81e-09,AluJr,Alu,SINE
chr5,139999103,139999118,MA1980.1,+,5.81e-09,LTR19B,ERV1,LTR
chr7,40876806,40876821,MA1980.1,-,6.76e-09,L1MD2,L1,LINE
chr4,63212070,63212085,MA1980.1,+,8.5e-09,L2a,L2,LINE
chr17,66943574,66943589,MA1980.1,-,8.5e-09,L1MEe,L1,LINE
chr8,120967564,120967579,MA1980.1,-,8.5e-09,L1M4,L1,LINE
chr18,74014326,74014341,MA1980.1,+,9.46e-09,L1ME1,L1,LINE
chr5,100723001,100723016,MA1980.1,+,9.46e-09,L1MEg,L1,LINE
chr3,149705720,149705735,MA1980.1,-,9.46e-09,LTR88a,Gypsy,LTR
chr7,17836114,17836129,MA1980.1,+,1.06e-08,MIR,MIR,SINE
chrY,18763961,18763976,MA1980.1,-,1.06e-08,L1ME4a,L1,LINE
chr4,67602162,67602177,MA1980.1,-,1.06e-08,MIRc,MIR,SINE
chr11,98960292,98960307,MA1980.1,-,1.06e-08,MIR,MIR,SINE
chr11,124949790,124949805,MA1980.1,+,1.06e-08,Charlie26a,hAT-Charlie,DNA
chr18,1623904,1623919,MA1980.1,-,1.16e-08,L1M4,L1,LINE
chrY,6099831,6099846,MA1980.1,+,1.16e-08,L1PA16,L1,LINE
chr9,10669004,10669019,MA1980.1,-,1.16e-08,L1PA15,L1,LINE
chr16,25495512,25495527,MA1980.1,-,1.16e-08,L1PA15,L1,LINE
chr8,56606895,56606910,MA1980.1,-,1.16e-08,L1ME5,L1,LINE
chr5,80163781,80163796,MA1980.1,-,1.16e-08,L1PA13,L1,LINE
