CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr2,134889433,134889453,MA1973.1,+,1.75e-11,MLT1H,ERVL-MaLR,LTR
chr15,101413283,101413303,MA1973.1,-,3.49e-11,MamRep1161,TcMar,DNA
chr10,124038407,124038427,MA1973.1,-,4.55e-11,MLT1H,ERVL-MaLR,LTR
chr11,10348304,10348324,MA1973.1,+,4.9e-11,MamRep1161,TcMar,DNA
chr11,45568940,45568960,MA1973.1,+,1.37e-10,MamRep1161,TcMar,DNA
chr9,119825976,119825996,MA1973.1,-,1.37e-10,MamRep1161,TcMar,DNA
chr2,8779106,8779126,MA1973.1,+,1.47e-10,MamRep1161,TcMar,DNA
chr10,100033687,100033707,MA1973.1,-,1.68e-10,MamRep1161,TcMar,DNA
chr3,71679417,71679437,MA1973.1,+,1.81e-10,MLT1I,ERVL-MaLR,LTR
chr3,8850201,8850221,MA1973.1,+,3.69e-10,MamRep1161,TcMar,DNA
chr20,37418771,37418791,MA1973.1,+,5.9e-10,MLT1G3,ERVL-MaLR,LTR
chr8,126401301,126401321,MA1973.1,-,6.74e-10,MamRep1161,TcMar,DNA
chr3,193731665,193731685,MA1973.1,-,7.9e-10,MamRep1161,TcMar,DNA
chr2,146417309,146417329,MA1973.1,-,8.58e-10,MamRep1161,TcMar,DNA
chr18,34041598,34041618,MA1973.1,-,9.34e-10,MamRep1161,TcMar,DNA
chr4,15926179,15926199,MA1973.1,+,1.15e-09,L2c,L2,LINE
chr9,19018578,19018598,MA1973.1,+,1.49e-09,MamRep1161,TcMar,DNA
chr13,83512723,83512743,MA1973.1,+,1.51e-09,MER52A,ERV1,LTR
chr21,39160991,39161011,MA1973.1,+,1.61e-09,MLT1H,ERVL-MaLR,LTR
chr3,63490226,63490246,MA1973.1,+,1.68e-09,MamRep1161,TcMar,DNA
chr3,63490226,63490246,MA1973.1,+,1.68e-09,MamRep1161,TcMar,DNA
chr18,53491125,53491145,MA1973.1,+,2.62e-09,MamRep1161,TcMar,DNA
chr14,73574257,73574277,MA1973.1,+,2.62e-09,MamRep1161,TcMar,DNA
chr16,31285242,31285262,MA1973.1,-,3.01e-09,MLT1H,ERVL-MaLR,LTR
chr20,13087401,13087421,MA1973.1,-,3.05e-09,MLT1H,ERVL-MaLR,LTR
chr2,80210975,80210995,MA1973.1,-,3.69e-09,MamRep1161,TcMar,DNA
chr2,80210975,80210995,MA1973.1,-,3.69e-09,MamRep1161,TcMar,DNA
chr2,85453591,85453611,MA1973.1,-,3.86e-09,MIRb,MIR,SINE
chr9,99320228,99320248,MA1973.1,+,4.09e-09,MamRep1161,TcMar,DNA
chr4,36448719,36448739,MA1973.1,-,5.02e-09,MLT1H,ERVL-MaLR,LTR
chr12,73584598,73584618,MA1973.1,-,5.02e-09,MLT1H,ERVL-MaLR,LTR
chr10,79605035,79605055,MA1973.1,+,5.09e-09,MIR3,MIR,SINE
chr3,14879548,14879568,MA1973.1,-,5.61e-09,MLT1E2,ERVL-MaLR,LTR
chr7,113798319,113798339,MA1973.1,+,5.78e-09,MamRep1161,TcMar,DNA
chr4,88943299,88943319,MA1973.1,-,7.3e-09,L3,CR1,LINE
chr17,67842457,67842477,MA1973.1,+,8.03e-09,MLT1H,ERVL-MaLR,LTR
chr15,90551132,90551152,MA1973.1,+,8.24e-09,MamRep1161,TcMar,DNA
chr7,91293458,91293478,MA1973.1,+,8.47e-09,L2b,L2,LINE
chr15,69990976,69990996,MA1973.1,+,8.93e-09,HERVL40-int,ERVL,LTR
chr11,8226806,8226826,MA1973.1,-,1.05e-08,MamRep1161,TcMar,DNA
chr4,39807013,39807033,MA1973.1,-,1.06e-08,AluSz,Alu,SINE
chr20,51425638,51425658,MA1973.1,+,1.1e-08,MLT1N2,ERVL-MaLR,LTR
chr16,54645697,54645717,MA1973.1,-,1.15e-08,MLT1H,ERVL-MaLR,LTR
chr11,72093043,72093063,MA1973.1,+,1.15e-08,L1M3e,L1,LINE
chr3,172205,172225,MA1973.1,-,1.19e-08,MLT1H,ERVL-MaLR,LTR
chrX,151880844,151880864,MA1973.1,+,1.28e-08,L1M5,L1,LINE
chrX,151924618,151924638,MA1973.1,-,1.28e-08,L1M5,L1,LINE
chr6,117351720,117351740,MA1973.1,+,1.32e-08,ERVL-E-int,ERVL,LTR
chr3,118948072,118948092,MA1973.1,+,1.35e-08,MLT1H,ERVL-MaLR,LTR
chr19,2160807,2160827,MA1973.1,-,1.42e-08,MER20,hAT-Charlie,DNA
chr5,134400794,134400814,MA1973.1,+,1.51e-08,MIR3,MIR,SINE
chr11,78797298,78797318,MA1973.1,+,1.67e-08,MLT1H2,ERVL-MaLR,LTR
chr19,7955781,7955801,MA1973.1,-,1.8e-08,AluSx,Alu,SINE
chr12,104825503,104825523,MA1973.1,+,1.85e-08,Tigger3a,TcMar-Tigger,DNA
chr6,14105890,14105910,MA1973.1,-,1.92e-08,MLT1H,ERVL-MaLR,LTR
chr21,42499526,42499546,MA1973.1,+,2.24e-08,L1MEc,L1,LINE
chr20,57213536,57213556,MA1973.1,+,2.3e-08,MLT1K,ERVL-MaLR,LTR
chr12,105848350,105848370,MA1973.1,-,2.3e-08,MLT1F2,ERVL-MaLR,LTR
chr7,156337750,156337770,MA1973.1,-,2.44e-08,MLT1H,ERVL-MaLR,LTR
chr14,24034136,24034156,MA1973.1,-,2.5e-08,L2b,L2,LINE
chr13,55074587,55074607,MA1973.1,+,2.62e-08,L1M3e,L1,LINE
chr9,77202610,77202630,MA1973.1,-,2.62e-08,MLT1H2,ERVL-MaLR,LTR
chr6,158799096,158799116,MA1973.1,-,2.62e-08,MLT1H,ERVL-MaLR,LTR
chr8,33514671,33514691,MA1973.1,+,2.72e-08,MLT1I,ERVL-MaLR,LTR
chrX,69856264,69856284,MA1973.1,+,2.72e-08,L1MA8,L1,LINE
