CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr10,2814763,2814778,MA1727.1,+,2.28e-09,MLT2B4,ERVL,LTR
chr4,186995460,186995475,MA1727.1,-,7.23e-09,Tigger3b,TcMar-Tigger,DNA
chr2,75250691,75250706,MA1727.1,+,1.29e-08,AluSq2,Alu,SINE
chr16,3546904,3546919,MA1727.1,-,1.66e-08,AluSx1,Alu,SINE
chr19,6503139,6503154,MA1727.1,-,1.66e-08,AluSp,Alu,SINE
chr17,7035258,7035273,MA1727.1,+,1.66e-08,AluSq2,Alu,SINE
chr10,20550751,20550766,MA1727.1,+,1.66e-08,AluSp,Alu,SINE
chr20,25553901,25553916,MA1727.1,+,1.66e-08,AluSq2,Alu,SINE
chr1,25575862,25575877,MA1727.1,-,1.66e-08,AluSz,Alu,SINE
chr19,37140266,37140281,MA1727.1,-,1.66e-08,AluSq2,Alu,SINE
chr4,40525636,40525651,MA1727.1,+,1.66e-08,AluSq2,Alu,SINE
chr18,60171438,60171453,MA1727.1,+,1.66e-08,AluSq4,Alu,SINE
chr5,64817461,64817476,MA1727.1,-,1.66e-08,AluSq2,Alu,SINE
chr13,64857533,64857548,MA1727.1,+,1.66e-08,AluSp,Alu,SINE
chr16,82869787,82869802,MA1727.1,-,1.66e-08,AluSq,Alu,SINE
chr11,85969942,85969957,MA1727.1,-,1.66e-08,AluSx1,Alu,SINE
chr4,88337477,88337492,MA1727.1,-,1.66e-08,AluSx1,Alu,SINE
chr14,105828254,105828269,MA1727.1,+,1.66e-08,AluSp,Alu,SINE
chr3,122450524,122450539,MA1727.1,-,1.66e-08,AluSx,Alu,SINE
chr7,129578514,129578529,MA1727.1,+,1.66e-08,AluSp,Alu,SINE
chr3,151837928,151837943,MA1727.1,+,1.66e-08,AluSx1,Alu,SINE
chr9,38417787,38417802,MA1727.1,-,1.9e-08,MER68,ERVL,LTR
chr5,14898790,14898805,MA1727.1,+,3.05e-08,AluSz,Alu,SINE
chr20,16955641,16955656,MA1727.1,+,3.05e-08,MER52D,ERV1,LTR
chr9,17377507,17377522,MA1727.1,+,3.05e-08,AluSx,Alu,SINE
chr7,19975093,19975108,MA1727.1,+,3.05e-08,AluY,Alu,SINE
chr8,28443321,28443336,MA1727.1,-,3.05e-08,AluJb,Alu,SINE
chr2,38563126,38563141,MA1727.1,+,3.05e-08,AluY,Alu,SINE
chr15,41608956,41608971,MA1727.1,+,3.05e-08,AluY,Alu,SINE
chr11,73317401,73317416,MA1727.1,+,3.05e-08,AluSx1,Alu,SINE
chr12,88421749,88421764,MA1727.1,+,3.25e-08,MIRb,MIR,SINE
chr17,43582741,43582756,MA1727.1,+,4.16e-08,MLT1M,ERVL-MaLR,LTR
chr17,62847956,62847971,MA1727.1,+,4.16e-08,MLT1M,ERVL-MaLR,LTR
chr10,74091342,74091357,MA1727.1,+,4.16e-08,MIR3,MIR,SINE
chr4,8639807,8639822,MA1727.1,+,4.59e-08,L1M5,L1,LINE
chr2,21385292,21385307,MA1727.1,-,4.69e-08,MER52D,ERV1,LTR
chr1,59989920,59989935,MA1727.1,+,4.69e-08,MER52A,ERV1,LTR
chr1,40075565,40075580,MA1727.1,-,5.1e-08,L2a,L2,LINE
