CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr2,15828349,15828361,MA1655.1,-,3.11e-08,MIRb,MIR,SINE
chr9,38027754,38027766,MA1655.1,-,3.11e-08,LTR16C,ERVL,LTR
chr19,6436228,6436240,MA1655.1,-,6.23e-08,MLT1F1,ERVL-MaLR,LTR
chr3,29410624,29410636,MA1655.1,+,6.23e-08,L1PA13,L1,LINE
chr14,55661042,55661054,MA1655.1,-,6.23e-08,L1M1,L1,LINE
chr18,65644914,65644926,MA1655.1,-,6.23e-08,L1PA15,L1,LINE
chr12,97612597,97612609,MA1655.1,-,6.23e-08,LTR78B,ERV1,LTR
chr8,104026621,104026633,MA1655.1,+,6.23e-08,MER66B,ERV1,LTR
chr4,2037428,2037440,MA1655.1,-,9.34e-08,PRIMA41-int,ERV1,LTR
chr4,2365565,2365577,MA1655.1,-,9.34e-08,MIRb,MIR,SINE
chr20,2805639,2805651,MA1655.1,+,9.34e-08,SVA_E,SVA_E,SVA
chr18,5937789,5937801,MA1655.1,-,9.34e-08,L2,L2,LINE
chr19,6964075,6964087,MA1655.1,+,9.34e-08,LTR16C,ERVL,LTR
chr6,11658917,11658929,MA1655.1,+,9.34e-08,LTR16C,ERVL,LTR
chr1,13434892,13434904,MA1655.1,+,9.34e-08,SVA_E,SVA_E,SVA
chr1,13655735,13655747,MA1655.1,+,9.34e-08,SVA_E,SVA_E,SVA
chr9,15740773,15740785,MA1655.1,-,9.34e-08,L1M3,L1,LINE
chr20,19279550,19279562,MA1655.1,-,9.34e-08,LTR16C,ERVL,LTR
chrX,19964381,19964393,MA1655.1,-,9.34e-08,L1PA2,L1,LINE
chr19,21904766,21904778,MA1655.1,+,9.34e-08,SVA_E,SVA_E,SVA
chr4,24479544,24479556,MA1655.1,+,9.34e-08,MLT1K,ERVL-MaLR,LTR
chr1,25159521,25159533,MA1655.1,-,9.34e-08,SVA_E,SVA_E,SVA
chr17,25539588,25539600,MA1655.1,+,9.34e-08,SVA_E,SVA_E,SVA
chr17,25947906,25947918,MA1655.1,-,9.34e-08,MIR3,MIR,SINE
chr10,32259794,32259806,MA1655.1,+,9.34e-08,SVA_E,SVA_E,SVA
chr4,35146319,35146331,MA1655.1,+,9.34e-08,MER9a2,ERVK,LTR
chr19,39709005,39709017,MA1655.1,+,9.34e-08,AluJr,Alu,SINE
chr19,41217660,41217672,MA1655.1,-,9.34e-08,MIR,MIR,SINE
