CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr4,122258394,122258415,MA1716.1,+,1.3e-09,L2c,L2,LINE
chr15,69597473,69597494,MA1716.1,-,2.51e-09,MER20,hAT-Charlie,DNA
chr11,37562957,37562978,MA1716.1,+,6.11e-09,L2a,L2,LINE
chr2,237504031,237504052,MA1716.1,-,6.31e-09,MER103C,hAT-Charlie,DNA
chr16,69305383,69305404,MA1716.1,+,8.6e-09,L2c,L2,LINE
chr19,4405663,4405684,MA1716.1,-,1.04e-08,MER20,hAT-Charlie,DNA
chr20,40962866,40962887,MA1716.1,-,1.09e-08,MER20,hAT-Charlie,DNA
chr16,31455673,31455694,MA1716.1,+,1.4e-08,MLT1F,ERVL-MaLR,LTR
chrY,19244056,19244077,MA1716.1,-,1.42e-08,HERVH-int,ERV1,LTR
chrX,22216535,22216556,MA1716.1,-,1.42e-08,L2c,L2,LINE
chr12,43938729,43938750,MA1716.1,-,1.44e-08,MER20,hAT-Charlie,DNA
chr8,79641020,79641041,MA1716.1,+,1.44e-08,MER20,hAT-Charlie,DNA
chr1,34542033,34542054,MA1716.1,-,1.53e-08,MER20,hAT-Charlie,DNA
chr2,120172648,120172669,MA1716.1,-,1.53e-08,Tigger4,TcMar-Tigger,DNA
chr2,21377984,21378005,MA1716.1,-,1.55e-08,L1MEd,L1,LINE
chr1,29692933,29692954,MA1716.1,-,1.55e-08,L2b,L2,LINE
chr1,30856728,30856749,MA1716.1,-,1.7e-08,L2a,L2,LINE
chrX,68037841,68037862,MA1716.1,+,1.75e-08,L1PB1,L1,LINE
chr7,33703256,33703277,MA1716.1,+,1.83e-08,MER20,hAT-Charlie,DNA
chr1,201006325,201006346,MA1716.1,-,2.15e-08,L2c,L2,LINE
chr12,125381154,125381175,MA1716.1,-,2.18e-08,L2b,L2,LINE
chr15,96370648,96370669,MA1716.1,-,2.49e-08,L2c,L2,LINE
chr8,109621141,109621162,MA1716.1,-,2.63e-08,MER121,TcMar,DNA
chr1,41278935,41278956,MA1716.1,-,2.67e-08,L2a,L2,LINE
chr2,43286689,43286710,MA1716.1,-,2.75e-08,MLT1G1,ERVL-MaLR,LTR
chr3,31960581,31960602,MA1716.1,+,2.87e-08,L2b,L2,LINE
chr11,86578352,86578373,MA1716.1,+,2.95e-08,L2c,L2,LINE
chr3,70292754,70292775,MA1716.1,-,3.26e-08,MER20,hAT-Charlie,DNA
chr4,127890220,127890241,MA1716.1,-,3.3e-08,MER20,hAT-Charlie,DNA
chr21,43872490,43872511,MA1716.1,-,3.35e-08,MER20,hAT-Charlie,DNA
chr6,48016975,48016996,MA1716.1,+,3.35e-08,MER20,hAT-Charlie,DNA
chr20,55493844,55493865,MA1716.1,-,3.35e-08,MER34A,ERV1,LTR
chr18,60798307,60798328,MA1716.1,+,3.35e-08,MER20,hAT-Charlie,DNA
chr8,15850016,15850037,MA1716.1,-,3.69e-08,L1M2,L1,LINE
chr8,121908894,121908915,MA1716.1,+,3.69e-08,L1PA17,L1,LINE
chr9,45436284,45436305,MA1716.1,-,4.06e-08,GSATII,centr,Satellite
chr7,13086828,13086849,MA1716.1,-,4.29e-08,MER20,hAT-Charlie,DNA
chr20,12595372,12595393,MA1716.1,-,4.35e-08,L1ME3E,L1,LINE
chr2,125430531,125430552,MA1716.1,+,4.53e-08,L1MEd,L1,LINE
chr2,202705785,202705806,MA1716.1,-,4.53e-08,L1MEg,L1,LINE
chr1,230650702,230650723,MA1716.1,+,4.59e-08,L1ME3A,L1,LINE
chr12,122182946,122182967,MA1716.1,-,4.78e-08,MER20,hAT-Charlie,DNA
chr20,49581689,49581710,MA1716.1,-,4.84e-08,L2b,L2,LINE
chr4,143796091,143796112,MA1716.1,+,4.97e-08,L1PA10,L1,LINE
chr7,46191454,46191475,MA1716.1,-,5.18e-08,Tigger3a,TcMar-Tigger,DNA
chr12,131858861,131858882,MA1716.1,-,5.18e-08,L1M5,L1,LINE
