CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr6,2264258,2264272,MA1726.1,-,1.93e-09,MLT1G1,ERVL-MaLR,LTR
chr6,7256333,7256347,MA1726.1,-,1.93e-09,MLT1G1,ERVL-MaLR,LTR
chr7,23185898,23185912,MA1726.1,-,1.93e-09,HAL1,L1,LINE
chr19,32980329,32980343,MA1726.1,-,1.93e-09,MLT1E1,ERVL-MaLR,LTR
chr4,55801049,55801063,MA1726.1,+,1.93e-09,MLT1G1,ERVL-MaLR,LTR
chr7,56986809,56986823,MA1726.1,-,1.93e-09,L2a,L2,LINE
chr7,63118217,63118231,MA1726.1,+,1.93e-09,L2a,L2,LINE
chr10,72753035,72753049,MA1726.1,+,1.93e-09,L2c,L2,LINE
chr4,94921626,94921640,MA1726.1,-,1.93e-09,MLT1G,ERVL-MaLR,LTR
chr7,101683647,101683661,MA1726.1,-,1.93e-09,L2a,L2,LINE
chr3,112757344,112757358,MA1726.1,-,1.93e-09,MLT1H,ERVL-MaLR,LTR
chr11,115928310,115928324,MA1726.1,+,1.93e-09,LTR33,ERVL,LTR
chr5,116333493,116333507,MA1726.1,+,1.93e-09,L1PA13,L1,LINE
chr10,117177295,117177309,MA1726.1,+,1.93e-09,L1MA6,L1,LINE
chr19,2556815,2556829,MA1726.1,-,3.85e-09,MER20,hAT-Charlie,DNA
chrY,4731636,4731650,MA1726.1,-,3.85e-09,L1M2,L1,LINE
chr5,7119379,7119393,MA1726.1,+,3.85e-09,MLT1H,ERVL-MaLR,LTR
chr5,23500273,23500287,MA1726.1,-,3.85e-09,THE1-int,ERVL-MaLR,LTR
chr19,44267199,44267213,MA1726.1,+,3.85e-09,L1ME3,L1,LINE
chr16,55763698,55763712,MA1726.1,-,3.85e-09,L2b,L2,LINE
chrX,90878991,90879005,MA1726.1,-,3.85e-09,L1M2,L1,LINE
chr12,95493351,95493365,MA1726.1,+,3.85e-09,L2a,L2,LINE
chr7,103046556,103046570,MA1726.1,-,3.85e-09,L1PA7,L1,LINE
chr11,134770211,134770225,MA1726.1,+,3.85e-09,L2a,L2,LINE
chr5,153127276,153127290,MA1726.1,+,3.85e-09,L2c,L2,LINE
chr4,190029635,190029649,MA1726.1,+,3.85e-09,MER41-int,ERV1,LTR
chr1,220959036,220959050,MA1726.1,+,3.85e-09,MER31B,ERV1,LTR
chr6,6719709,6719723,MA1726.1,-,6.2e-09,MIRc,MIR,SINE
chr19,12841140,12841154,MA1726.1,+,6.2e-09,L2b,L2,LINE
chr2,40195379,40195393,MA1726.1,+,6.2e-09,MLT1G1,ERVL-MaLR,LTR
chr17,42028330,42028344,MA1726.1,-,6.2e-09,L2c,L2,LINE
chr3,60966756,60966770,MA1726.1,-,6.2e-09,LTR88a,Gypsy,LTR
chr8,101454415,101454429,MA1726.1,-,6.2e-09,L2b,L2,LINE
chr11,109304468,109304482,MA1726.1,-,6.2e-09,L2c,L2,LINE
chr12,116726817,116726831,MA1726.1,+,6.2e-09,L2a,L2,LINE
chr5,169575692,169575706,MA1726.1,+,6.2e-09,MIRb,MIR,SINE
chr3,32065668,32065682,MA1726.1,-,8.55e-09,L1MB8,L1,LINE
chr19,49030490,49030504,MA1726.1,-,8.55e-09,MLT1H2,ERVL-MaLR,LTR
chr13,99847239,99847253,MA1726.1,+,8.55e-09,MER31B,ERV1,LTR
chr12,100610853,100610867,MA1726.1,+,8.55e-09,MIRb,MIR,SINE
chr7,154907178,154907192,MA1726.1,+,8.55e-09,MIRb,MIR,SINE
chr5,10146857,10146871,MA1726.1,+,1.01e-08,FordPrefect,hAT-Tip100,DNA
chr2,11539121,11539135,MA1726.1,+,1.01e-08,MSTA-int,ERVL-MaLR,LTR
chr16,12052832,12052846,MA1726.1,-,1.01e-08,LTR33C,ERVL,LTR
chr3,17244593,17244607,MA1726.1,+,1.01e-08,MSTA-int,ERVL-MaLR,LTR
chr1,32014895,32014909,MA1726.1,-,1.01e-08,L2a,L2,LINE
chr8,32832298,32832312,MA1726.1,-,1.01e-08,LTR39,ERV1,LTR
chr20,39631644,39631658,MA1726.1,-,1.01e-08,MLT1I,ERVL-MaLR,LTR
chr6,39866045,39866059,MA1726.1,-,1.01e-08,LTR16C,ERVL,LTR
chr3,48266559,48266573,MA1726.1,+,1.01e-08,MIR3,MIR,SINE
chr19,50386806,50386820,MA1726.1,-,1.01e-08,L2a,L2,LINE
chr17,64674410,64674424,MA1726.1,+,1.01e-08,MLT1D,ERVL-MaLR,LTR
chr17,73402879,73402893,MA1726.1,-,1.01e-08,L2c,L2,LINE
chr5,85145841,85145855,MA1726.1,-,1.01e-08,MSTA-int,ERVL-MaLR,LTR
chr14,101106565,101106579,MA1726.1,+,1.01e-08,L2a,L2,LINE
chr2,3851747,3851761,MA1726.1,+,1.25e-08,L2c,L2,LINE
chr13,24828054,24828068,MA1726.1,-,1.25e-08,L2a,L2,LINE
chr6,88887404,88887418,MA1726.1,-,1.25e-08,MER102c,hAT-Charlie,DNA
chr15,91180952,91180966,MA1726.1,-,1.25e-08,HAL1,L1,LINE
chr15,98332250,98332264,MA1726.1,+,1.25e-08,MIRb,MIR,SINE
chr13,111608976,111608990,MA1726.1,+,1.25e-08,MER5B,hAT-Charlie,DNA
chr4,45072099,45072113,MA1726.1,+,1.48e-08,MSTA-int,ERVL-MaLR,LTR
chr8,66887807,66887821,MA1726.1,+,1.48e-08,MLT1A1-int,ERVL-MaLR,LTR
chr1,71151227,71151241,MA1726.1,-,1.48e-08,L1PB4,L1,LINE
chr11,100951031,100951045,MA1726.1,+,1.48e-08,L1PA16,L1,LINE
chr2,114586594,114586608,MA1726.1,-,1.48e-08,MSTB,ERVL-MaLR,LTR
chr2,231654393,231654407,MA1726.1,-,1.48e-08,L1MEc,L1,LINE
chr10,3070260,3070274,MA1726.1,+,1.68e-08,MSTB,ERVL-MaLR,LTR
chr12,13440814,13440828,MA1726.1,-,1.68e-08,L2,L2,LINE
chr1,17038694,17038708,MA1726.1,+,1.68e-08,MIRb,MIR,SINE
chr7,29862243,29862257,MA1726.1,-,1.68e-08,L1MC4a,L1,LINE
chr20,31163887,31163901,MA1726.1,-,1.68e-08,L2a,L2,LINE
chr9,38939888,38939902,MA1726.1,+,1.68e-08,MSTB1,ERVL-MaLR,LTR
chr9,40162860,40162874,MA1726.1,-,1.68e-08,MSTB1,ERVL-MaLR,LTR
chr20,55488336,55488350,MA1726.1,-,1.68e-08,MIR,MIR,SINE
chr9,65792545,65792559,MA1726.1,-,1.68e-08,MSTB1,ERVL-MaLR,LTR
chr15,70288264,70288278,MA1726.1,+,1.68e-08,MLT1K,ERVL-MaLR,LTR
chr11,72442600,72442614,MA1726.1,+,1.68e-08,MSTB,ERVL-MaLR,LTR
chr7,110408436,110408450,MA1726.1,-,1.68e-08,L2a,L2,LINE
chr6,122716727,122716741,MA1726.1,-,1.68e-08,L2c,L2,LINE
chr7,132175023,132175037,MA1726.1,-,1.68e-08,MER103C,hAT-Charlie,DNA
chr3,140791469,140791483,MA1726.1,+,1.68e-08,MSTB,ERVL-MaLR,LTR
chr5,172529422,172529436,MA1726.1,-,1.68e-08,L1M3e,L1,LINE
chr2,236107357,236107371,MA1726.1,-,1.68e-08,ERV3-16A3_I-int,ERVL,LTR
chr18,33408789,33408803,MA1726.1,-,1.87e-08,MER31B,ERV1,LTR
chr22,41392762,41392776,MA1726.1,-,1.87e-08,L2a,L2,LINE
chr14,56216233,56216247,MA1726.1,-,1.87e-08,LTR16C,ERVL,LTR
chr19,57067729,57067743,MA1726.1,+,1.87e-08,MER58B,hAT-Charlie,DNA
chr4,83559770,83559784,MA1726.1,-,1.87e-08,LTR16E2,ERVL,LTR
chr9,89424879,89424893,MA1726.1,+,1.87e-08,MIRb,MIR,SINE
chr5,141784469,141784483,MA1726.1,-,1.87e-08,MER31B,ERV1,LTR
chr2,153802968,153802982,MA1726.1,+,1.87e-08,MSTB,ERVL-MaLR,LTR
chr1,157380488,157380502,MA1726.1,+,1.87e-08,MSTB,ERVL-MaLR,LTR
chr4,5636644,5636658,MA1726.1,-,2.1e-08,MER102c,hAT-Charlie,DNA
chr19,11911014,11911028,MA1726.1,-,2.1e-08,MER31B,ERV1,LTR
chr11,19749954,19749968,MA1726.1,-,2.1e-08,MER5B,hAT-Charlie,DNA
chr16,30447495,30447509,MA1726.1,+,2.1e-08,L2b,L2,LINE
chr20,48812840,48812854,MA1726.1,-,2.1e-08,L2b,L2,LINE
chr15,78655334,78655348,MA1726.1,+,2.1e-08,L2b,L2,LINE
chr8,140410793,140410807,MA1726.1,+,2.1e-08,MLT1C,ERVL-MaLR,LTR
chr6,151991334,151991348,MA1726.1,+,2.1e-08,L2a,L2,LINE
chr6,167535563,167535577,MA1726.1,-,2.1e-08,MER92A,ERV1,LTR
chr2,1549000,1549014,MA1726.1,+,2.57e-08,MLT2B3,ERVL,LTR
chr3,4172673,4172687,MA1726.1,+,2.57e-08,HERVL-int,ERVL,LTR
chr3,11203761,11203775,MA1726.1,-,2.57e-08,LTR79,ERVL,LTR
chr19,12181807,12181821,MA1726.1,-,2.57e-08,MER31B,ERV1,LTR
chr19,12217832,12217846,MA1726.1,-,2.57e-08,MER31B,ERV1,LTR
chr22,29871064,29871078,MA1726.1,+,2.57e-08,MIR,MIR,SINE
chr17,29881074,29881088,MA1726.1,-,2.57e-08,L2b,L2,LINE
chr18,43144318,43144332,MA1726.1,-,2.57e-08,Arthur1B,hAT-Tip100,DNA
chr6,46636853,46636867,MA1726.1,-,2.57e-08,L2b,L2,LINE
chr20,46658603,46658617,MA1726.1,-,2.57e-08,MLT1K,ERVL-MaLR,LTR
chr1,48785363,48785377,MA1726.1,+,2.57e-08,L1PREC2,L1,LINE
chr4,57183946,57183960,MA1726.1,+,2.57e-08,MamRep488,hAT,DNA
chr8,65942339,65942353,MA1726.1,-,2.57e-08,Arthur1B,hAT-Tip100,DNA
