CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr6,337762,337776,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr11,4276549,4276563,MA1652.1,+,1.93e-09,L1PB2,L1,LINE
chr11,4332657,4332671,MA1652.1,-,1.93e-09,L1PB2,L1,LINE
chr5,4357297,4357311,MA1652.1,-,1.93e-09,MLT1C,ERVL-MaLR,LTR
chr12,8298464,8298478,MA1652.1,+,1.93e-09,L1PA10,L1,LINE
chrX,10373942,10373956,MA1652.1,+,1.93e-09,L1PA5,L1,LINE
chr12,14155076,14155090,MA1652.1,-,1.93e-09,L1PB1,L1,LINE
chr5,17658348,17658362,MA1652.1,-,1.93e-09,L1PB1,L1,LINE
chr5,17766630,17766644,MA1652.1,+,1.93e-09,MLT1F2,ERVL-MaLR,LTR
chr7,23932283,23932297,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr21,24073540,24073554,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr17,26215972,26215986,MA1652.1,-,1.93e-09,L3,CR1,LINE
chr18,26778360,26778374,MA1652.1,+,1.93e-09,L1PB1,L1,LINE
chr2,28207701,28207715,MA1652.1,-,1.93e-09,L1PB1,L1,LINE
chr7,28290718,28290732,MA1652.1,+,1.93e-09,Zaphod,hAT-Tip100,DNA
chr19,29771188,29771202,MA1652.1,-,1.93e-09,L1PB3,L1,LINE
chrX,34062138,34062152,MA1652.1,+,1.93e-09,L1PB4,L1,LINE
chr9,34897811,34897825,MA1652.1,-,1.93e-09,L1PB1,L1,LINE
chr15,36194161,36194175,MA1652.1,-,1.93e-09,L1MC3,L1,LINE
chr2,38174328,38174342,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr5,38995526,38995540,MA1652.1,+,1.93e-09,L1PB2,L1,LINE
chr12,41979536,41979550,MA1652.1,-,1.93e-09,L1PB2,L1,LINE
chr18,46508374,46508388,MA1652.1,+,1.93e-09,L1MB8,L1,LINE
chr20,47022687,47022701,MA1652.1,+,1.93e-09,MLT1D,ERVL-MaLR,LTR
chr2,47345279,47345293,MA1652.1,+,1.93e-09,MER1A,hAT-Charlie,DNA
chr17,50600100,50600114,MA1652.1,+,1.93e-09,L1PB3,L1,LINE
chr19,54812309,54812323,MA1652.1,+,1.93e-09,L1PB1,L1,LINE
chr11,56367389,56367403,MA1652.1,-,1.93e-09,L1PB1,L1,LINE
chrX,68490855,68490869,MA1652.1,-,1.93e-09,L1PB1,L1,LINE
chr3,76658062,76658076,MA1652.1,-,1.93e-09,L1PB2,L1,LINE
chr6,81356590,81356604,MA1652.1,+,1.93e-09,L1PB1,L1,LINE
chr4,82242553,82242567,MA1652.1,+,1.93e-09,L1PA10,L1,LINE
chr10,82750347,82750361,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr6,83383791,83383805,MA1652.1,+,1.93e-09,L1PB1,L1,LINE
chr13,85288123,85288137,MA1652.1,-,1.93e-09,L1PB2,L1,LINE
chr5,85471772,85471786,MA1652.1,+,1.93e-09,L1PB4,L1,LINE
chr9,85933148,85933162,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr6,86620642,86620656,MA1652.1,+,1.93e-09,L1P3,L1,LINE
chr5,88394695,88394709,MA1652.1,-,1.93e-09,L1PB3,L1,LINE
chr7,93655968,93655982,MA1652.1,-,1.93e-09,L1PA8,L1,LINE
chr10,111433022,111433036,MA1652.1,+,1.93e-09,L1PB3,L1,LINE
chrX,124731053,124731067,MA1652.1,+,1.93e-09,L1PB4,L1,LINE
chr5,127867111,127867125,MA1652.1,+,1.93e-09,L1PB1,L1,LINE
chr3,136596664,136596678,MA1652.1,+,1.93e-09,HAL1,L1,LINE
chr3,150730319,150730333,MA1652.1,+,1.93e-09,LTR33,ERVL,LTR
chr1,152608745,152608759,MA1652.1,+,1.93e-09,AluSz,Alu,SINE
chr4,166404284,166404298,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr4,186675464,186675478,MA1652.1,+,1.93e-09,L1PA15,L1,LINE
chr1,227381197,227381211,MA1652.1,-,1.93e-09,L1PB4,L1,LINE
chr11,1496934,1496948,MA1652.1,-,4.27e-09,Tigger7,TcMar-Tigger,DNA
chr1,4076942,4076956,MA1652.1,+,4.27e-09,L1ME5,L1,LINE
chr1,4077151,4077165,MA1652.1,+,4.27e-09,L1ME5,L1,LINE
chr1,8218919,8218933,MA1652.1,+,4.27e-09,MamGypLTR2c,Gypsy,LTR
chrY,21652856,21652870,MA1652.1,-,4.27e-09,MER1B,hAT-Charlie,DNA
chr1,29617098,29617112,MA1652.1,-,4.27e-09,L3,CR1,LINE
chr1,29825509,29825523,MA1652.1,+,4.27e-09,L3,CR1,LINE
chr1,30805118,30805132,MA1652.1,-,4.27e-09,L3,CR1,LINE
chr7,37626620,37626634,MA1652.1,-,4.27e-09,AluJb,Alu,SINE
chr9,38092419,38092433,MA1652.1,-,4.27e-09,L1MB2,L1,LINE
chr6,42266740,42266754,MA1652.1,+,4.27e-09,AluJb,Alu,SINE
chr20,56173028,56173042,MA1652.1,+,4.27e-09,MLT1D,ERVL-MaLR,LTR
chr4,64034105,64034119,MA1652.1,+,4.27e-09,MLT1C,ERVL-MaLR,LTR
chr17,64471381,64471395,MA1652.1,-,4.27e-09,L3,CR1,LINE
chr8,66495637,66495651,MA1652.1,+,4.27e-09,L1PB4,L1,LINE
chr5,68212150,68212164,MA1652.1,-,4.27e-09,L1PB4,L1,LINE
chr14,70174234,70174248,MA1652.1,+,4.27e-09,AluJb,Alu,SINE
chr3,79096290,79096304,MA1652.1,+,4.27e-09,MLT1F2-int,ERVL-MaLR,LTR
chr16,81380457,81380471,MA1652.1,-,4.27e-09,LTR41,ERVL,LTR
chr12,81865990,81866004,MA1652.1,+,4.27e-09,L1MB8,L1,LINE
chr7,93019662,93019676,MA1652.1,+,4.27e-09,L1MD1,L1,LINE
chr14,93511893,93511907,MA1652.1,+,4.27e-09,FAM,Alu,SINE
chr9,132983820,132983834,MA1652.1,-,4.27e-09,AluSx1,Alu,SINE
chr4,137170989,137171003,MA1652.1,-,4.27e-09,L1ME2,L1,LINE
chr4,141609139,141609153,MA1652.1,+,4.27e-09,AluJb,Alu,SINE
chr2,146204360,146204374,MA1652.1,-,4.27e-09,LTR33A_,ERVL,LTR
chrX,154230273,154230287,MA1652.1,-,4.27e-09,L1MB2,L1,LINE
chr1,196990324,196990338,MA1652.1,-,4.27e-09,AluJb,Alu,SINE
chr2,236069226,236069240,MA1652.1,-,4.27e-09,MLT1D,ERVL-MaLR,LTR
chr1,2742495,2742509,MA1652.1,-,6.62e-09,MLT1B,ERVL-MaLR,LTR
chr19,3451291,3451305,MA1652.1,+,6.62e-09,L1MB7,L1,LINE
chr7,9559937,9559951,MA1652.1,+,6.62e-09,L1PA15,L1,LINE
chr7,14960712,14960726,MA1652.1,-,6.62e-09,L1PA15,L1,LINE
chr6,23652699,23652713,MA1652.1,+,6.62e-09,LTR78,ERV1,LTR
chr5,28390588,28390602,MA1652.1,-,6.62e-09,MLT1C,ERVL-MaLR,LTR
chr5,44775004,44775018,MA1652.1,-,6.62e-09,L1MA2,L1,LINE
chr20,45553639,45553653,MA1652.1,-,6.62e-09,MLT1C,ERVL-MaLR,LTR
chr7,48061885,48061899,MA1652.1,+,6.62e-09,L1MA1,L1,LINE
chr20,60114545,60114559,MA1652.1,-,6.62e-09,MLT1B,ERVL-MaLR,LTR
chr3,60642962,60642976,MA1652.1,+,6.62e-09,MER20B,hAT-Charlie,DNA
chr8,64368091,64368105,MA1652.1,+,6.62e-09,HAL1,L1,LINE
chr13,75288889,75288903,MA1652.1,-,6.62e-09,Tigger1,TcMar-Tigger,DNA
chr12,81300460,81300474,MA1652.1,+,6.62e-09,L1PA15,L1,LINE
chr14,82936991,82937005,MA1652.1,+,6.62e-09,L1MA9,L1,LINE
chr8,85084863,85084877,MA1652.1,+,6.62e-09,L1MA2,L1,LINE
chr12,85537828,85537842,MA1652.1,-,6.62e-09,L1PA15,L1,LINE
chr14,104037449,104037463,MA1652.1,-,6.62e-09,LTR8A,ERV1,LTR
chr2,111702067,111702081,MA1652.1,-,6.62e-09,L1PA15,L1,LINE
chr6,126139134,126139148,MA1652.1,-,6.62e-09,HAL1-3A_ME,L1,LINE
chr3,135815730,135815744,MA1652.1,+,6.62e-09,AluSz6,Alu,SINE
