CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr8,310729,310741,MA0528.2,-,2.56e-08,AluSz6,Alu,SINE
chr8,1083989,1084001,MA0528.2,-,2.56e-08,L1PA13,L1,LINE
chr20,1123058,1123070,MA0528.2,-,2.56e-08,L1PA4,L1,LINE
chr17,1309667,1309679,MA0528.2,+,2.56e-08,AluSx,Alu,SINE
chr17,1387260,1387272,MA0528.2,+,2.56e-08,AluSp,Alu,SINE
chr4,1927206,1927218,MA0528.2,-,2.56e-08,AluSx,Alu,SINE
chr20,2826417,2826429,MA0528.2,-,2.56e-08,L1MB2,L1,LINE
chrY,3066474,3066486,MA0528.2,+,2.56e-08,L1MC2,L1,LINE
chrX,3519298,3519310,MA0528.2,+,2.56e-08,L1MA5A,L1,LINE
chr20,3572444,3572456,MA0528.2,-,2.56e-08,MER76,ERVL,LTR
chr18,3583870,3583882,MA0528.2,+,2.56e-08,AluSx,Alu,SINE
chr2,3713049,3713061,MA0528.2,-,2.56e-08,L1PA10,L1,LINE
chr9,3838000,3838012,MA0528.2,+,2.56e-08,L1MC1,L1,LINE
chr6_qbl_hap6,3891010,3891022,MA0528.2,-,2.56e-08,L1PA5,L1,LINE
chr6_cox_hap2,4104556,4104568,MA0528.2,-,2.56e-08,L1PA5,L1,LINE
chr9,4537048,4537060,MA0528.2,+,2.56e-08,L1PA4,L1,LINE
chr9,5279344,5279356,MA0528.2,+,2.56e-08,AluSz6,Alu,SINE
chr2,5357283,5357295,MA0528.2,-,2.56e-08,L1PA11,L1,LINE
chr19,6952213,6952225,MA0528.2,-,2.56e-08,L1PA3,L1,LINE
chr7,7352846,7352858,MA0528.2,-,2.56e-08,L1PA4,L1,LINE
chr19,7876185,7876197,MA0528.2,-,2.56e-08,AluSx1,Alu,SINE
chr6,7982986,7982998,MA0528.2,-,2.56e-08,L1ME3A,L1,LINE
chr17,8128232,8128244,MA0528.2,-,2.56e-08,AluSx3,Alu,SINE
chrX,10196262,10196274,MA0528.2,-,2.56e-08,L1MA3,L1,LINE
chr20,10353322,10353334,MA0528.2,-,2.56e-08,L1PA3,L1,LINE
chrX,10373938,10373950,MA0528.2,+,2.56e-08,L1PA5,L1,LINE
chr12,11256143,11256155,MA0528.2,+,2.56e-08,L1PA5,L1,LINE
chr9,11288886,11288898,MA0528.2,+,2.56e-08,L1PA4,L1,LINE
chr9,11853344,11853356,MA0528.2,-,2.56e-08,L1PA3,L1,LINE
chr4,11854188,11854200,MA0528.2,+,2.56e-08,L1PA4,L1,LINE
chr12,12088912,12088924,MA0528.2,-,2.56e-08,L1PA2,L1,LINE
chr12,12562300,12562312,MA0528.2,-,2.56e-08,L1PA4,L1,LINE
chr2,13376363,13376375,MA0528.2,-,2.56e-08,L1PA4,L1,LINE
chrX,13544882,13544894,MA0528.2,-,2.56e-08,L1PA4,L1,LINE
chr7,13661460,13661472,MA0528.2,+,2.56e-08,L1PA3,L1,LINE
chr4,14007079,14007091,MA0528.2,-,2.56e-08,L1PA3,L1,LINE
chr8,14115136,14115148,MA0528.2,-,2.56e-08,L1PA5,L1,LINE
chr11,14562490,14562502,MA0528.2,+,2.56e-08,L1PA5,L1,LINE
chr2,14566790,14566802,MA0528.2,+,2.56e-08,L1PA4,L1,LINE
chr8,14866235,14866247,MA0528.2,+,2.56e-08,HAL1-3A_ME,L1,LINE
chr11,15567736,15567748,MA0528.2,-,2.56e-08,L1M5,L1,LINE
chr11,15983535,15983547,MA0528.2,+,2.56e-08,MER106B,hAT-Charlie,DNA
chrY,16267367,16267379,MA0528.2,+,2.56e-08,L1PA5,L1,LINE
chr10,16454574,16454586,MA0528.2,+,2.56e-08,AluSz,Alu,SINE
chr8,16490347,16490359,MA0528.2,-,2.56e-08,L1PA2,L1,LINE
chrX,16736539,16736551,MA0528.2,+,2.56e-08,L1MB2,L1,LINE
chr9,17132085,17132097,MA0528.2,+,2.56e-08,L1PA5,L1,LINE
chr6,17145691,17145703,MA0528.2,-,2.56e-08,L1PB1,L1,LINE
chr19,17210185,17210197,MA0528.2,+,2.56e-08,L1PB4,L1,LINE
chr9,17449262,17449274,MA0528.2,-,2.56e-08,L1PA2,L1,LINE
chr3,17579059,17579071,MA0528.2,-,2.56e-08,L1MB3,L1,LINE
chr1,17744375,17744387,MA0528.2,+,2.56e-08,MER2,TcMar-Tigger,DNA
chr17,17865553,17865565,MA0528.2,+,2.56e-08,L1MB3,L1,LINE
