CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr5,143920051,143920066,MA1588.1,-,1.16e-09,L1M7,L1,LINE
chrX,99767892,99767907,MA1588.1,+,4.7e-09,L2,L2,LINE
chr7,107229266,107229281,MA1588.1,+,4.7e-09,L1MEb,L1,LINE
chr6,10852803,10852818,MA1588.1,-,8.03e-09,L1MEb,L1,LINE
chr20,13372006,13372021,MA1588.1,-,8.03e-09,L4,RTE,LINE
chr8,82125356,82125371,MA1588.1,+,8.03e-09,MLT1E3,ERVL-MaLR,LTR
chr10,88390080,88390095,MA1588.1,-,8.03e-09,L1MEf,L1,LINE
chr5,33285502,33285517,MA1588.1,-,1.23e-08,L2a,L2,LINE
chr7,138393307,138393322,MA1588.1,+,1.37e-08,Tigger12c,TcMar-Tigger,DNA
chr4_gl000193_random,2903,2918,MA1588.1,+,1.97e-08,LTR12C,ERV1,LTR
chr11,13473000,13473015,MA1588.1,+,2.09e-08,L1M4b,L1,LINE
chr2,68741716,68741731,MA1588.1,-,2.09e-08,L1MEb,L1,LINE
chr11,108647042,108647057,MA1588.1,-,2.09e-08,L1MEb,L1,LINE
chrX,122718014,122718029,MA1588.1,-,2.09e-08,L1M4b,L1,LINE
chr16,80859579,80859594,MA1588.1,+,2.23e-08,L1M5,L1,LINE
chr6,150853273,150853288,MA1588.1,+,2.23e-08,Tigger16b,TcMar-Tigger,DNA
chr9,116166245,116166260,MA1588.1,+,3.08e-08,L1MD3,L1,LINE
chr5,139078926,139078941,MA1588.1,-,3.17e-08,MIRb,MIR,SINE
chr6,146338478,146338493,MA1588.1,-,3.17e-08,HAL1,L1,LINE
chr7,20751845,20751860,MA1588.1,-,3.46e-08,L1MEc,L1,LINE
chrX,112430682,112430697,MA1588.1,-,3.46e-08,L1PA12,L1,LINE
chr22,37947307,37947322,MA1588.1,+,3.73e-08,L3,CR1,LINE
chr12,55786285,55786300,MA1588.1,-,3.94e-08,MER52A,ERV1,LTR
chr8,107535437,107535452,MA1588.1,-,4.06e-08,MLT1E3,ERVL-MaLR,LTR
chr6,9553263,9553278,MA1588.1,-,4.17e-08,LTR27,ERV1,LTR
chr14,62154314,62154329,MA1588.1,-,4.43e-08,L1MC2,L1,LINE
chr9,118302248,118302263,MA1588.1,+,4.43e-08,L1ME2z,L1,LINE
chr18,23053519,23053534,MA1588.1,+,4.51e-08,MER5A,hAT-Charlie,DNA
chr18,23053519,23053534,MA1588.1,+,4.51e-08,MER5A,hAT-Charlie,DNA
chr4,98743459,98743474,MA1588.1,-,4.51e-08,MSTA-int,ERVL-MaLR,LTR
chr3,170602737,170602752,MA1588.1,-,5.05e-08,L1M5,L1,LINE
chr9,22466924,22466939,MA1588.1,-,5.28e-08,L2a,L2,LINE
chr4,142176911,142176926,MA1588.1,-,5.28e-08,LTR82A,ERVL,LTR
chr5,141935706,141935721,MA1588.1,-,5.52e-08,X7A_LINE,CR1,LINE
chr6,156068433,156068448,MA1588.1,+,5.8e-08,MIRb,MIR,SINE
chr3,62657925,62657940,MA1588.1,-,6.21e-08,MER5A,hAT-Charlie,DNA
chr5,173777430,173777445,MA1588.1,-,6.21e-08,L2c,L2,LINE
chr5,82883278,82883293,MA1588.1,+,6.28e-08,LTR33,ERVL,LTR
chr17,19322639,19322654,MA1588.1,-,6.79e-08,MER67C,ERV1,LTR
chr5,45820658,45820673,MA1588.1,+,6.91e-08,L1M6,L1,LINE
chr15,48488494,48488509,MA1588.1,-,7.02e-08,L3,CR1,LINE
chr2,233885028,233885043,MA1588.1,+,7.02e-08,L1MEf,L1,LINE
chr11,91732403,91732418,MA1588.1,-,7.14e-08,MIRb,MIR,SINE
chr2,2974794,2974809,MA1588.1,-,7.21e-08,MLT1H,ERVL-MaLR,LTR
chr18,56104245,56104260,MA1588.1,-,7.21e-08,AluJo,Alu,SINE
chr1,106724019,106724034,MA1588.1,+,7.21e-08,LTR27,ERV1,LTR
chr11,28652921,28652936,MA1588.1,-,7.32e-08,MLT1E1A,ERVL-MaLR,LTR
chrX,56532833,56532848,MA1588.1,+,7.66e-08,L1PBa1,L1,LINE
chr6,102278894,102278909,MA1588.1,+,8.03e-08,L1PA17,L1,LINE
chr7,80478922,80478937,MA1588.1,+,8.32e-08,L1M5,L1,LINE
chr9,38217746,38217761,MA1588.1,+,8.43e-08,L1MEc,L1,LINE
chr12,91799310,91799325,MA1588.1,+,8.62e-08,ERV3-16A3_I-int,ERVL,LTR
chr18,66015285,66015300,MA1588.1,+,8.95e-08,MER44B,TcMar-Tigger,DNA
chr13,70838374,70838389,MA1588.1,-,8.95e-08,L1ME3F,L1,LINE
chr14,84780842,84780857,MA1588.1,+,8.95e-08,MER90a,ERV1,LTR
chr9,101592602,101592617,MA1588.1,+,8.95e-08,MER20B,hAT-Charlie,DNA
chr7,55420268,55420283,MA1588.1,+,9.24e-08,L1MEf,L1,LINE
chr20,38994003,38994018,MA1588.1,-,9.68e-08,MLT1J2,ERVL-MaLR,LTR
chr7,93626128,93626143,MA1588.1,-,9.68e-08,L1PREC2,L1,LINE
chr6,112902726,112902741,MA1588.1,-,1e-07,L1MD3,L1,LINE
chr2,202973165,202973180,MA1588.1,-,1.03e-07,L1MC4,L1,LINE
chr10,17113192,17113207,MA1588.1,-,1.05e-07,L1MB8,L1,LINE
chr8,27348004,27348019,MA1588.1,+,1.05e-07,L3,CR1,LINE
chr13,34636314,34636329,MA1588.1,-,1.05e-07,MLT1H1,ERVL-MaLR,LTR
