CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr3,23755375,23755389,MA1656.1,-,2.35e-09,MLT1H2,ERVL-MaLR,LTR
chr13,27551016,27551030,MA1656.1,+,2.35e-09,HAL1,L1,LINE
chr12,64164159,64164173,MA1656.1,-,2.35e-09,MER110,ERV1,LTR
chr8,117575323,117575337,MA1656.1,-,2.35e-09,MLT1K,ERVL-MaLR,LTR
chr4,66054779,66054793,MA1656.1,-,4.69e-09,MLT1H2,ERVL-MaLR,LTR
chr2,227474290,227474304,MA1656.1,-,4.69e-09,MLT1H2,ERVL-MaLR,LTR
chr16,14437093,14437107,MA1656.1,+,8.55e-09,L2b,L2,LINE
chr3,61593565,61593579,MA1656.1,-,8.55e-09,MER102b,hAT-Charlie,DNA
chr16,75865092,75865106,MA1656.1,-,8.55e-09,L1PB1,L1,LINE
chr2,103314998,103315012,MA1656.1,-,8.55e-09,MLT1H2,ERVL-MaLR,LTR
chr8,107891712,107891726,MA1656.1,-,8.55e-09,MER5B,hAT-Charlie,DNA
chr3,184223634,184223648,MA1656.1,-,8.55e-09,MER5B,hAT-Charlie,DNA
chr1,1703131,1703145,MA1656.1,+,1.32e-08,L1M4,L1,LINE
chr6,5793058,5793072,MA1656.1,+,1.8e-08,L2,L2,LINE
chrX,13777927,13777941,MA1656.1,-,1.8e-08,MER46C,TcMar-Tigger,DNA
chr2,23161344,23161358,MA1656.1,+,1.8e-08,L1ME1,L1,LINE
chr2,52852909,52852923,MA1656.1,+,1.8e-08,L1MEf,L1,LINE
chr18,69153723,69153737,MA1656.1,+,1.8e-08,MER115,hAT-Tip100,DNA
chr3,95936617,95936631,MA1656.1,-,1.8e-08,MER66-int,ERV1,LTR
chr10,14431825,14431839,MA1656.1,+,2.47e-08,HSMAR1,TcMar-Mariner,DNA
chr6,66217969,66217983,MA1656.1,-,2.47e-08,L1MCa,L1,LINE
chr11,98366181,98366195,MA1656.1,-,2.47e-08,MER51-int,ERV1,LTR
chr3,139149503,139149517,MA1656.1,-,2.47e-08,MIRc,MIR,SINE
chr2,146367555,146367569,MA1656.1,-,2.47e-08,L2c,L2,LINE
chr1,20153407,20153421,MA1656.1,+,3.14e-08,L2,L2,LINE
chr8,43292842,43292856,MA1656.1,+,3.14e-08,HUERS-P3-int,ERV1,LTR
chr20,48136234,48136248,MA1656.1,+,3.14e-08,L2a,L2,LINE
chr10,71643487,71643501,MA1656.1,-,3.14e-08,L2c,L2,LINE
chr3,80437522,80437536,MA1656.1,+,3.14e-08,HERVH-int,ERV1,LTR
chr5,171137683,171137697,MA1656.1,-,3.14e-08,L2b,L2,LINE
chr14,30280875,30280889,MA1656.1,-,3.56e-08,MER45C,hAT-Tip100,DNA
chr21,44199703,44199717,MA1656.1,+,3.56e-08,MLT1B,ERVL-MaLR,LTR
chr4,49062218,49062232,MA1656.1,-,3.56e-08,L1MA8,L1,LINE
chrX,64368381,64368395,MA1656.1,-,3.56e-08,L1MA8,L1,LINE
chr7,146782610,146782624,MA1656.1,+,3.56e-08,MER1B,hAT-Charlie,DNA
chr5,149629632,149629646,MA1656.1,+,3.56e-08,L2b,L2,LINE
chr14,78741984,78741998,MA1656.1,-,3.85e-08,MLT1K,ERVL-MaLR,LTR
chr2,103540471,103540485,MA1656.1,-,3.85e-08,MLT1H,ERVL-MaLR,LTR
chr5,23665830,23665844,MA1656.1,-,4.28e-08,L2a,L2,LINE
chr14,42782097,42782111,MA1656.1,-,4.28e-08,HERVK9-int,ERVK,LTR
chr20,62012063,62012077,MA1656.1,+,4.28e-08,MER52A,ERV1,LTR
chr9,104168463,104168477,MA1656.1,-,4.28e-08,L2c,L2,LINE
chr22,33518912,33518926,MA1656.1,-,4.51e-08,MER66-int,ERV1,LTR
chr9,104714589,104714603,MA1656.1,+,4.51e-08,MER66-int,ERV1,LTR
chr7,16241059,16241073,MA1656.1,+,4.8e-08,LTR27B,ERV1,LTR
chr2,211149710,211149724,MA1656.1,-,4.8e-08,L1MA5,L1,LINE
chr2,242083891,242083905,MA1656.1,+,5.03e-08,MER115,hAT-Tip100,DNA
chr2,28398258,28398272,MA1656.1,+,5.79e-08,L1MA4A,L1,LINE
chr22,41395641,41395655,MA1656.1,-,5.79e-08,L1M5,L1,LINE
chr15,101577455,101577469,MA1656.1,-,5.79e-08,L1MA4A,L1,LINE
chr13,113362341,113362355,MA1656.1,+,5.79e-08,HSMAR1,TcMar-Mariner,DNA
chr7,118645797,118645811,MA1656.1,+,5.79e-08,AluJo,Alu,SINE
