CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chrUn_gl000241,6078,6090,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chrUn_gl000213,13628,13640,MA1630.2,+,2.1e-08,L1HS,L1,LINE
chr4,15958,15970,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chrUn_gl000211,17230,17242,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000227,19550,19562,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chrUn_gl000234,20807,20819,MA1630.2,-,2.1e-08,L1PA3,L1,LINE
chrUn_gl000235,24255,24267,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr5,24301,24313,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chrUn_gl000246,25447,25459,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chrUn_gl000230,27971,27983,MA1630.2,-,2.1e-08,L1PA5,L1,LINE
chr19_gl000208_random,30023,30035,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chrUn_gl000240,31112,31124,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000217,33469,33481,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chrUn_gl000232,33875,33887,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chrUn_gl000236,36701,36713,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000234,38959,38971,MA1630.2,+,2.1e-08,LSAU,Satellite,Satellite
chrUn_gl000219,39978,39990,MA1630.2,+,2.1e-08,L1PA2,L1,LINE
chrUn_gl000233,41298,41310,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chr18,41666,41678,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000224,45758,45770,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chr7,49692,49704,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chr20,61275,61287,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr11,61541,61553,MA1630.2,-,2.1e-08,L1PA5,L1,LINE
chr6,63991,64003,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chrUn_gl000221,71212,71224,MA1630.2,+,2.1e-08,L1PA2,L1,LINE
chr1,73989,74001,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr11,74418,74430,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chr17,74761,74773,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chr6,79576,79588,MA1630.2,-,2.1e-08,L1PA5,L1,LINE
chrUn_gl000215,80241,80253,MA1630.2,-,2.1e-08,L1HS,L1,LINE
chrUn_gl000220,87052,87064,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chr10,87275,87287,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chr6,93686,93698,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chrUn_gl000212,98268,98280,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chr8,103855,103867,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chr10,107021,107033,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000219,111335,111347,MA1630.2,-,2.1e-08,L1HS,L1,LINE
chr19,115584,115596,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_cox_hap2,117209,117221,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000211,117918,117930,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr17,122402,122414,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chrUn_gl000211,124142,124154,MA1630.2,+,2.1e-08,L1PA2,L1,LINE
chr17_gl000205_random,124132,124144,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chrUn_gl000213,130231,130243,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr19,131173,131185,MA1630.2,-,2.1e-08,L1PA5,L1,LINE
chrUn_gl000221,133119,133131,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr20,143533,143545,MA1630.2,+,2.1e-08,L1PA2,L1,LINE
chr19,144048,144060,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chr9,145554,145566,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000221,150820,150832,MA1630.2,+,2.1e-08,L1PA4,L1,LINE
chr1_gl000192_random,186470,186482,MA1630.2,+,2.1e-08,L1HS,L1,LINE
chr1_gl000192_random,186887,186899,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chrUn_gl000225,205658,205670,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr1_gl000192_random,223634,223646,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chr1_gl000192_random,237669,237681,MA1630.2,+,2.1e-08,L1HS,L1,LINE
chr4_ctg9_hap1,255950,255962,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr1_gl000192_random,302504,302516,MA1630.2,+,2.1e-08,L1PA2,L1,LINE
chr8,316710,316722,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr4_ctg9_hap1,324587,324599,MA1630.2,-,2.1e-08,L1PA5,L1,LINE
chr2,334477,334489,MA1630.2,+,2.1e-08,L1PA3,L1,LINE
chr6_qbl_hap6,336884,336896,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr6_mann_hap4,336885,336897,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr6_dbb_hap3,336895,336907,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr6_mcf_hap5,337036,337048,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr10,342834,342846,MA1630.2,+,2.1e-08,L1PA5,L1,LINE
chr6_ssto_hap7,374367,374379,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr1,380818,380830,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr6_mann_hap4,386519,386531,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_qbl_hap6,386520,386532,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_dbb_hap3,386526,386538,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_apd_hap1,386553,386565,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr3,402418,402430,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_ssto_hap7,424001,424013,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr7,433460,433472,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_mann_hap4,434687,434699,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_qbl_hap6,434690,434702,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_dbb_hap3,434696,434708,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_apd_hap1,434724,434736,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_mcf_hap5,434826,434838,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr6_ssto_hap7,472170,472182,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
chr10,495577,495589,MA1630.2,+,2.1e-08,L1HS,L1,LINE
chr1_gl000192_random,517825,517837,MA1630.2,-,2.1e-08,L1PA5,L1,LINE
chr17,537779,537791,MA1630.2,-,2.1e-08,L1PA5,L1,LINE
chr18,541569,541581,MA1630.2,+,2.1e-08,L1HS,L1,LINE
chr6_cox_hap2,552291,552303,MA1630.2,-,2.1e-08,L1PA4,L1,LINE
chr6_cox_hap2,601995,602007,MA1630.2,-,2.1e-08,L1PA2,L1,LINE
