CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr12,81149253,81149269,MA1720.1,-,3.2e-10,Arthur1C,hAT-Tip100,DNA
chr12,5075700,5075716,MA1720.1,-,1.32e-09,MLT1A0,ERVL-MaLR,LTR
chr5,136252554,136252570,MA1720.1,+,1.32e-09,MIR,MIR,SINE
chr4,67262494,67262510,MA1720.1,+,1.75e-09,L1PB4,L1,LINE
chr2B,173045512,173045528,MA1720.1,+,1.75e-09,L1MA6,L1,LINE
chr1,102899746,102899762,MA1720.1,+,4.27e-09,L1MEc,L1,LINE
chr5,102815350,102815366,MA1720.1,+,5.17e-09,L1MB2,L1,LINE
chr12,68239060,68239076,MA1720.1,-,5.81e-09,MIRc,MIR,SINE
chr18,68330702,68330718,MA1720.1,-,5.81e-09,L1M4c,L1,LINE
chr11,94577305,94577321,MA1720.1,-,5.81e-09,L1MA7,L1,LINE
chr7,37126424,37126440,MA1720.1,-,7.11e-09,L2a,L2,LINE
chr7,158468828,158468844,MA1720.1,-,8.07e-09,MLT1G1,ERVL-MaLR,LTR
chr17,23506097,23506113,MA1720.1,+,9.18e-09,MIRc,MIR,SINE
chr9,81513704,81513720,MA1720.1,+,9.18e-09,L1MA6,L1,LINE
chr13,103327886,103327902,MA1720.1,-,9.18e-09,L1M1,L1,LINE
chr5,166135250,166135266,MA1720.1,+,9.18e-09,LTR16D1,ERVL,LTR
chr4,46769286,46769302,MA1720.1,-,1.31e-08,L1M2,L1,LINE
chrX,58244790,58244806,MA1720.1,-,1.31e-08,L1M2,L1,LINE
chr8,59986244,59986260,MA1720.1,+,1.31e-08,L1MB3,L1,LINE
chr3,79996220,79996236,MA1720.1,-,1.31e-08,L1MA4,L1,LINE
chr6,92065481,92065497,MA1720.1,-,1.31e-08,L1MA9,L1,LINE
chr4,27871015,27871031,MA1720.1,+,1.35e-08,THE1C-int,ERVL-MaLR,LTR
chr3,135070966,135070982,MA1720.1,+,1.46e-08,MLT1I,ERVL-MaLR,LTR
chr13,78898996,78899012,MA1720.1,+,1.49e-08,Tigger3b,TcMar-Tigger,DNA
chr10_GL391668_random,55450,55466,MA1720.1,+,1.55e-08,L1MB4,L1,LINE
chrX,27860896,27860912,MA1720.1,-,1.63e-08,L1MA9,L1,LINE
chrX,127993139,127993155,MA1720.1,-,1.77e-08,L1PBa,L1,LINE
chr8,55158836,55158852,MA1720.1,-,1.85e-08,LTR43-int,ERV1,LTR
chr9,73015005,73015021,MA1720.1,-,1.85e-08,L1PA16,L1,LINE
chr11,3632776,3632792,MA1720.1,+,2.01e-08,AluSz,Alu,SINE
chr6,59098072,59098088,MA1720.1,+,2.01e-08,THE1D-int,ERVL-MaLR,LTR
chrX,146623549,146623565,MA1720.1,+,2.05e-08,L1MEg,L1,LINE
chr5,64635838,64635854,MA1720.1,-,2.11e-08,MLT1C,ERVL-MaLR,LTR
chr11,75326389,75326405,MA1720.1,+,2.37e-08,L1MB1,L1,LINE
chr4,97010250,97010266,MA1720.1,+,2.37e-08,L1M4,L1,LINE
chr5,97100842,97100858,MA1720.1,+,2.37e-08,L1M2,L1,LINE
chr5,34625677,34625693,MA1720.1,+,2.39e-08,L1MC,L1,LINE
chr20,8353089,8353105,MA1720.1,-,2.45e-08,L1MEd,L1,LINE
chr4,33273140,33273156,MA1720.1,+,2.53e-08,L1PA15-16,L1,LINE
chr2B,239773032,239773048,MA1720.1,+,2.55e-08,MLT1F,ERVL-MaLR,LTR
chr22,16551212,16551228,MA1720.1,-,2.75e-08,L1MC2,L1,LINE
chr5,96370220,96370236,MA1720.1,+,2.81e-08,ERVL-int,ERVL,LTR
chr3,31717740,31717756,MA1720.1,+,2.89e-08,L1MB3,L1,LINE
chr10,107394258,107394274,MA1720.1,-,2.89e-08,MLT1D,ERVL-MaLR,LTR
chr2B,139244494,139244510,MA1720.1,+,2.89e-08,L3b,CR1,LINE
chr1,158525639,158525655,MA1720.1,-,2.99e-08,L2a,L2,LINE
chr4,83729875,83729891,MA1720.1,-,3.09e-08,L1MC4,L1,LINE
chr12,20055500,20055516,MA1720.1,-,3.16e-08,ERV3-16A3_I-int,ERVL,LTR
chr14,61268624,61268640,MA1720.1,-,3.16e-08,MLT1A-int,ERVL-MaLR,LTR
chr19,13853051,13853067,MA1720.1,+,3.28e-08,MLT1H2,ERVL-MaLR,LTR
chr6,36725077,36725093,MA1720.1,+,3.33e-08,MLT1F2,ERVL-MaLR,LTR
chr9,75250875,75250891,MA1720.1,+,3.33e-08,AluJb,Alu,SINE
chr18,52806970,52806986,MA1720.1,-,3.5e-08,L1MEg,L1,LINE
chr2B,246670500,246670516,MA1720.1,-,3.5e-08,AluJr4,Alu,SINE
chr3,7080500,7080516,MA1720.1,-,3.63e-08,L1MEc,L1,LINE
chr4,116833145,116833161,MA1720.1,-,3.63e-08,L1M5,L1,LINE
chr4,34200788,34200804,MA1720.1,+,3.68e-08,L1MA5,L1,LINE
chr9,25544836,25544852,MA1720.1,+,3.75e-08,L1MEg,L1,LINE
chr6,29965577,29965593,MA1720.1,+,3.81e-08,ERV3-16A3_I-int,ERVL,LTR
chr1,136483884,136483900,MA1720.1,-,3.98e-08,L3,CR1,LINE
chr20,383282,383298,MA1720.1,+,4.07e-08,MIR,MIR,SINE
chr19,48359316,48359332,MA1720.1,+,4.07e-08,LTR8A,ERV1,LTR
chr3,147759294,147759310,MA1720.1,+,4.07e-08,HAL1,L1,LINE
