"","geneName","teName","coef","pvalue","padj","teName.y"
"1","ZNF195","chr11|124502438|124502784|MLT1A0:ERVL-MaLR:LTR|151|-",-0.958364991029224,0.000664269548722733,0.0437980971716782,"MLT1A0"
"2","ZNF195","chr12|9851001|9851349|L1M2:L1:LINE|167|+",-0.969159768640306,0.000315525654686577,0.0337087501229578,"L1M2"
"3","ZNF195","chr16|27461600|27461647|L2c:L2:LINE|298|-",-0.953591187373319,0.000869102981896859,0.0482107573351175,"L2c"
"4","ZNF195","chr17|75090116|75090398|AluSq:Alu:SINE|82|-",-0.981680330467808,8.63917632712183e-05,0.0218826007813374,"AluSq"
"5","ZNF195","chr19|16661259|16661541|AluSz:Alu:SINE|110|+",-0.954319576140294,0.000835733052226242,0.0475000155290195,"AluSz"
"6","ZNF195","chr19|19791143|19791426|AluSq2:Alu:SINE|78|+",-0.974950353744388,0.000188193574798603,0.0280709485930352,"AluSq2"
"7","ZNF195","chr21|45180045|45180356|AluSz:Alu:SINE|100|-",0.977020947678406,0.000151850701506199,0.0260217927084225,"AluSz"
"8","ZNF195","chr4|154510874|154512117|L1MC4:L1:LINE|273|-",-0.980825691132978,9.67781751876653e-05,0.0226514794917983,"L1MC4"
"9","ZNF195","chr5|170835993|170836113|FLAM_C:Alu:SINE|208|-",-0.952938960837232,0.000899641903659518,0.0487333030293026,"FLAM_C"
"10","ZNF195","chr6|143764149|143764365|MIR:MIR:SINE|244|-",-0.961896106863552,0.000533278322481115,0.0404709854440293,"MIR"
"11","ZNF195","chr6|43584048|43584348|AluSg4:Alu:SINE|130|+",-0.952189853691461,0.00093548951634237,0.0493881110288784,"AluSg4"
"12","ZNF263","chr1|156306913|156307219|AluSx:Alu:SINE|82|+",-0.979636615713401,0.000112415060476593,0.0237222408012001,"AluSx"
"13","ZNF263","chr1|28566254|28566553|AluSx1:Alu:SINE|117|+",-0.952976860331042,0.000897850260555354,0.0487110637238823,"AluSx1"
"14","ZNF263","chr11|8490346|8492629|Tigger1:TcMar-Tigger:DNA|129|-",-0.977741133684203,0.000140285563288259,0.0253784456844811,"Tigger1"
"15","ZNF263","chr11|89940129|89940353|L2:L2:LINE|344|+",-0.963491635670939,0.000479609182780826,0.039009979040114,"L2"
"16","ZNF263","chr12|54626189|54626307|MIR:MIR:SINE|92|-",-0.97057606557675,0.00028075364433207,0.0324449893934972,"MIR"
"17","ZNF263","chr12|98942616|98942921|AluSc:Alu:SINE|102|+",0.958906760264489,0.000643059994566988,0.0433282653958741,"AluSc"
"18","ZNF263","chr13|114111204|114111494|AluSx:Alu:SINE|79|-",-0.971114930455266,0.000268153652312781,0.0319372955632369,"AluSx"
"19","ZNF263","chr14|75598808|75599111|AluSz:Alu:SINE|122|+",0.962465812913263,0.000513726972509553,0.0399530896662612,"AluSz"
"20","ZNF263","chr15|41572703|41573008|AluSx3:Alu:SINE|72|-",0.964874772433558,0.000435792943472113,0.0378148770972621,"AluSx3"
"21","ZNF263","chr2|25650544|25650735|MIRc:MIR:SINE|279|+",0.952458396652646,0.00092254341852065,0.0491174602867188,"MIRc"
"22","ZNF263","chr20|3027764|3028060|AluSz:Alu:SINE|74|+",-0.96869966270593,0.000327344431915262,0.0341335963061184,"AluSz"
