CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr13,49536536,49536552,MA1599.1,-,6.13e-10,L2a,L2,LINE
chr6,33843325,33843341,MA1599.1,+,1.77e-09,MLT1G1,ERVL-MaLR,LTR
chr22,36958286,36958302,MA1599.1,+,2.06e-09,L2a,L2,LINE
chr7_random,12024840,12024856,MA1599.1,+,2.66e-09,MER66A,ERV1,LTR
chr7,16728759,16728775,MA1599.1,-,2.66e-09,MER66A,ERV1,LTR
chr2a,33000674,33000690,MA1599.1,+,2.66e-09,MER66A,ERV1,LTR
chr11,43213431,43213447,MA1599.1,+,2.66e-09,MER66C,ERV1,LTR
chr22,43778900,43778916,MA1599.1,+,2.66e-09,MER66A,ERV1,LTR
chr9,28258523,28258539,MA1599.1,-,3.22e-09,MER66B,ERV1,LTR
chr9,112994681,112994697,MA1599.1,-,3.54e-09,L2b,L2,LINE
chr22,18049123,18049139,MA1599.1,-,4.47e-09,MER66B,ERV1,LTR
chrX,70408674,70408690,MA1599.1,-,4.47e-09,L2a,L2,LINE
chr4,38637457,38637473,MA1599.1,+,4.89e-09,MER102a,hAT-Charlie,DNA
chr12_random,1032977,1032993,MA1599.1,-,5.21e-09,HERVE-int,ERV1,LTR
chr12,17959997,17960013,MA1599.1,+,5.21e-09,HERVE-int,ERV1,LTR
chr2a,58663313,58663329,MA1599.1,-,5.21e-09,HERVE-int,ERV1,LTR
chr5,87018544,87018560,MA1599.1,-,5.21e-09,HERVE-int,ERV1,LTR
chr6_random,1068344,1068360,MA1599.1,+,5.66e-09,MER66C,ERV1,LTR
chr1_random,8390556,8390572,MA1599.1,+,5.66e-09,MER66C,ERV1,LTR
chr7,19773190,19773206,MA1599.1,-,5.66e-09,MER66B,ERV1,LTR
chr1,63178640,63178656,MA1599.1,-,5.66e-09,MER66C,ERV1,LTR
chrX,100511875,100511891,MA1599.1,-,5.66e-09,MER66C,ERV1,LTR
chr11,107888749,107888765,MA1599.1,-,5.66e-09,MER66B,ERV1,LTR
chr12,114980832,114980848,MA1599.1,+,5.66e-09,MER66B,ERV1,LTR
chr10,58098266,58098282,MA1599.1,-,5.94e-09,CR1_Mam,CR1,LINE
chr8,71207847,71207863,MA1599.1,+,5.94e-09,MER5A,hAT-Charlie,DNA
chr14_random,4219279,4219295,MA1599.1,-,7.94e-09,MER66B,ERV1,LTR
chr10,18674783,18674799,MA1599.1,-,7.94e-09,MER66A,ERV1,LTR
chr17,67745134,67745150,MA1599.1,-,7.94e-09,MER66C,ERV1,LTR
