CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr16,44349624,44349639,MA1982.1,-,8.21e-09,MER5A,hAT-Charlie,DNA
chr5,141852695,141852710,MA1982.1,-,1.45e-08,L2a,L2,LINE
chr2b,109169434,109169449,MA1982.1,-,1.69e-08,L1PA13,L1,LINE
chr2b,17788030,17788045,MA1982.1,-,1.77e-08,MER50,ERV1,LTR
chr6,42281376,42281391,MA1982.1,-,1.77e-08,HAL1,L1,LINE
chr1,112151101,112151116,MA1982.1,+,2.81e-08,LTR56,ERV1,LTR
chr3,119271632,119271647,MA1982.1,-,2.81e-08,MER21C,ERVL,LTR
chr2b,6900035,6900050,MA1982.1,+,3.72e-08,LTR84b,ERVL,LTR
chr2b,6905041,6905056,MA1982.1,+,3.72e-08,LTR84b,ERVL,LTR
chr19,2658288,2658303,MA1982.1,-,4.01e-08,MER20,hAT-Charlie,DNA
chr6,101614043,101614058,MA1982.1,+,4.22e-08,FordPrefect,hAT-Tip100,DNA
chr1,206004982,206004997,MA1982.1,-,5.36e-08,MER39B,ERV1,LTR
chr10,35148422,35148437,MA1982.1,-,6.14e-08,MER50,ERV1,LTR
chr6,110055876,110055891,MA1982.1,-,7.27e-08,LTR28,ERV1,LTR
chr3_random,8559807,8559822,MA1982.1,-,7.54e-08,ERVL-B4-int,ERVL,LTR
chr3,15841952,15841967,MA1982.1,-,7.54e-08,MIRc,MIR,SINE
chr3,149408651,149408666,MA1982.1,-,7.54e-08,ERVL-B4-int,ERVL,LTR
chr21,17560155,17560170,MA1982.1,+,7.58e-08,AluJb,Alu,SINE
chr21,17564766,17564781,MA1982.1,+,7.58e-08,AluJb,Alu,SINE
chr4,141713738,141713753,MA1982.1,+,7.58e-08,L1M1,L1,LINE
chr22,31554961,31554976,MA1982.1,+,7.87e-08,L2c,L2,LINE
chr20,29810005,29810020,MA1982.1,+,8.42e-08,L2a,L2,LINE
chr9,31262869,31262884,MA1982.1,+,8.62e-08,L1MDa,L1,LINE
chr13,61384798,61384813,MA1982.1,-,8.91e-08,MLT1J1,ERVL-MaLR,LTR
chr1,55238052,55238067,MA1982.1,-,9.06e-08,L1PA12,L1,LINE
chr8,61854247,61854262,MA1982.1,+,9.06e-08,L1PA14,L1,LINE
chr13,95227835,95227850,MA1982.1,-,9.06e-08,L1PA15-16,L1,LINE
chr10,132847426,132847441,MA1982.1,+,9.06e-08,LTR56,ERV1,LTR
chr9,64383305,64383320,MA1982.1,-,9.33e-08,L1M3e,L1,LINE
chrX,67560437,67560452,MA1982.1,-,9.72e-08,AluSq,Alu,SINE
chr8,150216799,150216814,MA1982.1,-,1e-07,MLT1A0,ERVL-MaLR,LTR
chr18,68175780,68175795,MA1982.1,+,1.02e-07,MIRb,MIR,SINE
chrX,9480678,9480693,MA1982.1,+,1.03e-07,HERV35I-int,ERV1,LTR
chr8,22393952,22393967,MA1982.1,-,1.03e-07,L2a,L2,LINE
chr1,20467471,20467486,MA1982.1,-,1.03e-07,Arthur1,hAT-Tip100,DNA
chr5,44674734,44674749,MA1982.1,+,1.07e-07,L2c,L2,LINE
chr17,55953293,55953308,MA1982.1,-,1.09e-07,MER66-int,ERV1,LTR
chr7,114462472,114462487,MA1982.1,-,1.09e-07,MER20,hAT-Charlie,DNA
chrUn,5260636,5260651,MA1982.1,+,1.14e-07,MER115,hAT-Tip100,DNA
chrUn,17702347,17702362,MA1982.1,-,1.14e-07,MER115,hAT-Tip100,DNA
chrUn,17704410,17704425,MA1982.1,-,1.14e-07,MER115,hAT-Tip100,DNA
chr17,39831205,39831220,MA1982.1,-,1.14e-07,HERV9-int,ERV1,LTR
chr2a,74054578,74054593,MA1982.1,+,1.14e-07,MLT1H2,ERVL-MaLR,LTR
chr12,135873423,135873438,MA1982.1,-,1.14e-07,MER21B,ERVL,LTR
chr5,166321943,166321958,MA1982.1,-,1.14e-07,L1MEc,L1,LINE
chr1,204623886,204623901,MA1982.1,+,1.14e-07,L2a,L2,LINE
chr17,3850439,3850454,MA1982.1,+,1.14e-07,MIR,MIR,SINE
chr17,3850439,3850454,MA1982.1,+,1.14e-07,MIR,MIR,SINE
chr1_random,15319389,15319404,MA1982.1,-,1.3e-07,MIRb,MIR,SINE
chr1,206230602,206230617,MA1982.1,-,1.3e-07,MIRb,MIR,SINE
chr13,33853794,33853809,MA1982.1,+,1.34e-07,L1MEg,L1,LINE
chr22,31254267,31254282,MA1982.1,+,1.36e-07,MIR,MIR,SINE
chr5,108910222,108910237,MA1982.1,+,1.37e-07,LTR25,ERV1,LTR
chr7_random,3904658,3904673,MA1982.1,+,1.39e-07,AluSg,Alu,SINE
chr7,116893302,116893317,MA1982.1,+,1.39e-07,AluSg,Alu,SINE
chr10,120475421,120475436,MA1982.1,-,1.39e-07,AluY,Alu,SINE
chr15,66405377,66405392,MA1982.1,+,1.49e-07,LTR56,ERV1,LTR
chr3,101664774,101664789,MA1982.1,-,1.49e-07,LTR56,ERV1,LTR
chr14,103323052,103323067,MA1982.1,+,1.49e-07,LTR56,ERV1,LTR
chr12,116343259,116343274,MA1982.1,+,1.53e-07,Charlie4a,hAT-Charlie,DNA
chr12,124929823,124929838,MA1982.1,-,1.53e-07,MER5A,hAT-Charlie,DNA
chr4_random,5290856,5290871,MA1982.1,+,1.56e-07,MIRb,MIR,SINE
chr15_random,7367480,7367495,MA1982.1,+,1.58e-07,MLT1G,ERVL-MaLR,LTR
chr5,10900552,10900567,MA1982.1,-,1.58e-07,Tigger1,TcMar-Tigger,DNA
chr15,75963125,75963140,MA1982.1,+,1.58e-07,MLT1G,ERVL-MaLR,LTR
chr2a,4722459,4722474,MA1982.1,+,1.65e-07,Tigger1,TcMar-Tigger,DNA
chr13,49476512,49476527,MA1982.1,-,1.65e-07,AluJo,Alu,SINE
chrX,80115629,80115644,MA1982.1,+,1.65e-07,L1PREC2,L1,LINE
chr4,110797009,110797024,MA1982.1,+,1.65e-07,L1PREC2,L1,LINE
chr12,47882036,47882051,MA1982.1,-,1.65e-07,LTR31,ERV1,LTR
chr7,154679201,154679216,MA1982.1,-,1.67e-07,MLT1H,ERVL-MaLR,LTR
chr9_random,4812502,4812517,MA1982.1,+,1.68e-07,MER89-int,ERV1,LTR
chr2a,101704894,101704909,MA1982.1,+,1.68e-07,L2a,L2,LINE
chr2b,73655315,73655330,MA1982.1,+,1.8e-07,MLT1E2,ERVL-MaLR,LTR
chr6,2945549,2945564,MA1982.1,+,1.86e-07,L2a,L2,LINE
chr7,51342523,51342538,MA1982.1,+,1.86e-07,LTR12_,ERV1,LTR
chr3,86678914,86678929,MA1982.1,-,1.86e-07,MER21C,ERVL,LTR
chr3_random,4541288,4541303,MA1982.1,-,1.88e-07,L1ME3B,L1,LINE
chr7,141136597,141136612,MA1982.1,-,1.88e-07,L1M1,L1,LINE
chr2b,11035892,11035907,MA1982.1,-,1.9e-07,L1PREC2,L1,LINE
chr1_random,12582083,12582098,MA1982.1,-,1.9e-07,L1PA13,L1,LINE
chr1_random,15651586,15651601,MA1982.1,+,1.9e-07,L1MA3,L1,LINE
chr1_random,16759230,16759245,MA1982.1,+,1.9e-07,L1PA13,L1,LINE
chrX,37386221,37386236,MA1982.1,-,1.9e-07,L1PA12,L1,LINE
chr19,40513263,40513278,MA1982.1,+,1.9e-07,L1PA13,L1,LINE
chr11,53413929,53413944,MA1982.1,-,1.9e-07,L1PREC2,L1,LINE
chrUn,53762378,53762393,MA1982.1,+,1.9e-07,L1PA13,L1,LINE
chrUn,67018183,67018198,MA1982.1,+,1.9e-07,L1PA13,L1,LINE
chrX,77899056,77899071,MA1982.1,-,1.9e-07,L1PA15,L1,LINE
chr11,108728169,108728184,MA1982.1,-,1.9e-07,MIRb,MIR,SINE
chr11,121964087,121964102,MA1982.1,-,1.9e-07,L1PA15,L1,LINE
chr3,132873922,132873937,MA1982.1,-,1.9e-07,L1PA13,L1,LINE
chr9,101226738,101226753,MA1982.1,-,1.93e-07,MIR,MIR,SINE
