CHROM,START,END,MOTIF,STRAND,PVALUE,TE,family_id,class_id
chr3_random,28959,28969,MA1986.1,-,4.13e-07,MER5A,hAT-Charlie,DNA
chr14_random,216922,216932,MA1986.1,-,4.13e-07,HERV3-int,ERV1,LTR
chr6_qbl_hap2,306971,306981,MA1986.1,-,4.13e-07,L1PA3,L1,LINE
chr6_qbl_hap2,312460,312470,MA1986.1,-,4.13e-07,L1P1,L1,LINE
chr8,362221,362231,MA1986.1,-,4.13e-07,MER31A,ERV1,LTR
chr2b_random,406411,406421,MA1986.1,-,4.13e-07,MLT1H1,ERVL-MaLR,LTR
chr10,529780,529790,MA1986.1,+,4.13e-07,MER5A,hAT-Charlie,DNA
chr9_random,564237,564247,MA1986.1,-,4.13e-07,HERVIP10F-int,ERV1,LTR
chr3_random,641939,641949,MA1986.1,+,4.13e-07,MER5A,hAT-Charlie,DNA
chr3_random,776302,776312,MA1986.1,-,4.13e-07,MER5A,hAT-Charlie,DNA
chr16,1472156,1472166,MA1986.1,+,4.13e-07,LTR8A,ERV1,LTR
chr16,1534913,1534923,MA1986.1,-,4.13e-07,MLT1D,ERVL-MaLR,LTR
chr21_random,1568312,1568322,MA1986.1,-,4.13e-07,MER61C,ERV1,LTR
chr19_random,1609697,1609707,MA1986.1,+,4.13e-07,MER66C,ERV1,LTR
chr14_random,1729210,1729220,MA1986.1,-,4.13e-07,L1PA13,L1,LINE
chr17_random,1853096,1853106,MA1986.1,+,4.13e-07,AluSx,Alu,SINE
chr6,1854131,1854141,MA1986.1,-,4.13e-07,THE1D-int,ERVL-MaLR,LTR
chrX,1895346,1895356,MA1986.1,+,4.13e-07,AluJo,Alu,SINE
chr3_random,1943086,1943096,MA1986.1,-,4.13e-07,L1PA3,L1,LINE
chr8_random,2117214,2117224,MA1986.1,-,4.13e-07,MER50,ERV1,LTR
chr4,2225659,2225669,MA1986.1,-,4.13e-07,HERV16-int,ERVL,LTR
chr2a_random,2281331,2281341,MA1986.1,-,4.13e-07,MLT1H1,ERVL-MaLR,LTR
chr6,2506203,2506213,MA1986.1,+,4.13e-07,ERVL-E-int,ERVL,LTR
chr22_random,2579564,2579574,MA1986.1,+,4.13e-07,MLT1D,ERVL-MaLR,LTR
chr7,2597261,2597271,MA1986.1,+,4.13e-07,MIRb,MIR,SINE
chr18_random,2619602,2619612,MA1986.1,+,4.13e-07,HERVL18-int,ERVL,LTR
chrUn,3009456,3009466,MA1986.1,-,4.13e-07,HERV1_I-int,ERV1,LTR
chr3_random,3041609,3041619,MA1986.1,-,4.13e-07,MER5A,hAT-Charlie,DNA
chr9_random,3104094,3104104,MA1986.1,+,4.13e-07,LTR88b,Gypsy,LTR
chr2b,3246276,3246286,MA1986.1,+,4.13e-07,HERVIP10F-int,ERV1,LTR
chrUn,3267503,3267513,MA1986.1,+,4.13e-07,HERVK14-int,ERVK,LTR
chr6_random,3303291,3303301,MA1986.1,-,4.13e-07,L1PBa1,L1,LINE
chr2a,3328186,3328196,MA1986.1,+,4.13e-07,L1MDa,L1,LINE
chr3,3354735,3354745,MA1986.1,+,4.13e-07,AluSx,Alu,SINE
chr11_random,3362244,3362254,MA1986.1,-,4.13e-07,THE1B-int,ERVL-MaLR,LTR
chr1_random,3516508,3516518,MA1986.1,-,4.13e-07,L1P1,L1,LINE
chr4,3547485,3547495,MA1986.1,-,4.13e-07,L2b,L2,LINE
chr3,3555634,3555644,MA1986.1,-,4.13e-07,HAL1,L1,LINE
chr19,3635696,3635706,MA1986.1,-,4.13e-07,L2a,L2,LINE
chr3,3743956,3743966,MA1986.1,-,4.13e-07,HERVK14-int,ERVK,LTR
chr11_random,4046880,4046890,MA1986.1,+,4.13e-07,LTR7,ERV1,LTR
chr9_random,4099737,4099747,MA1986.1,-,4.13e-07,L1MDb,L1,LINE
chr20,4646567,4646577,MA1986.1,-,4.13e-07,LTR16A1,ERVL,LTR
chr10,4695551,4695561,MA1986.1,-,4.13e-07,MER88,ERVL,LTR
chr12,4813383,4813393,MA1986.1,+,4.13e-07,AluSg,Alu,SINE
chr8,5229169,5229179,MA1986.1,+,4.13e-07,AluSq,Alu,SINE
chr3,5375161,5375171,MA1986.1,-,4.13e-07,MLT1K,ERVL-MaLR,LTR
chr2b,5610672,5610682,MA1986.1,-,4.13e-07,MLT1H1,ERVL-MaLR,LTR
chr9_random,5884157,5884167,MA1986.1,+,4.13e-07,LTR1D,ERV1,LTR
chr8_random,6525944,6525954,MA1986.1,-,4.13e-07,MSTB-int,ERVL-MaLR,LTR
chr16,6553678,6553688,MA1986.1,-,4.13e-07,THE1C-int,ERVL-MaLR,LTR
chr11,6637907,6637917,MA1986.1,+,4.13e-07,MLT2B4,ERVL,LTR
chr12,6670022,6670032,MA1986.1,-,4.13e-07,MER97c,hAT-Tip100,DNA
chr5,6690796,6690806,MA1986.1,-,4.13e-07,MIR,MIR,SINE
chr14_random,6990050,6990060,MA1986.1,-,4.13e-07,HERV3-int,ERV1,LTR
chr2a,7084449,7084459,MA1986.1,-,4.13e-07,MER5A,hAT-Charlie,DNA
chr7,7102385,7102395,MA1986.1,+,4.13e-07,MIR,MIR,SINE
chrUn,7887063,7887073,MA1986.1,-,4.13e-07,MLT1J,ERVL-MaLR,LTR
chr5_random,8329946,8329956,MA1986.1,+,4.13e-07,L2b,L2,LINE
chr16_random,8420005,8420015,MA1986.1,+,4.13e-07,HERVK14-int,ERVK,LTR
chr5,8488363,8488373,MA1986.1,+,4.13e-07,MSTA-int,ERVL-MaLR,LTR
chr1_random,8674963,8674973,MA1986.1,-,4.13e-07,L1P1,L1,LINE
chr4,8730781,8730791,MA1986.1,-,4.13e-07,L2b,L2,LINE
chr3,8829862,8829872,MA1986.1,+,4.13e-07,Charlie1b,hAT-Charlie,DNA
