"geneName" "teName" "coef" "pvalue"
"1" "ZNF263" "ISL2" 0.880384850327406 0.00173050132558185
"2" "ZNF263" "NR4A2" 0.835951263576751 0.00499533268300474
"3" "ZNF263" "NCAM2" 0.853922272666866 0.00339027623612071
"4" "ZNF667" "RAB27A" -0.831176947182607 0.00549575703079316
"5" "ZNF667" "NR4A2" 0.826662698199625 0.00599941352035538
"6" "ZNF667" "PLCB1" 0.8137339481461 0.0076141677674652
"7" "ZNF667" "IL1RAP" 0.927104429633322 0.000320481996036825
"8" "ZNF667" "TPBG" -0.890941147369331 0.0012658445563647
"9" "ZKSCAN3" "SERPINI1" -0.826778224944174 0.00598614687568364
"10" "ZKSCAN3" "EPM2A" 0.838490935183592 0.00474227573104928
"11" "ZKSCAN3" "ICA1" -0.84250640827013 0.00436028989680062
"12" "ZNF418" "NR4A2" 0.914877026912349 0.000544754139714592
"13" "ZNF418" "PLCB1" 0.823576203057241 0.00636131660522842
"14" "ZNF417" "EPM2A" 0.853951826816018 0.00338797883835448
"15" "ZNF417" "ICA1" -0.860373538222113 0.00291372291630289
